2025-08-26 16:33:43,744 | CAMERA-AI | INFO | ✅ Camera AI Controller database initialized
2025-08-26 16:40:11,065 | CAMERA-AI | INFO | ✅ Camera AI System operational!
2025-08-26 16:40:11,297 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:40:11,369 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:11,507 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:40:11,588 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:11,749 | CAMERA-AI | INFO | 🌙 Enabling AI Night Mode...
2025-08-26 16:40:11,826 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:12,023 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:12,228 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:12,507 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:12,710 | CAMERA-AI | INFO | ✅ AI Night Mode enabled
2025-08-26 16:40:12,710 | CAMERA-AI | INFO | 📸 Capturing enhanced photo: ai_scene
2025-08-26 16:40:12,718 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:40:16,394 | CAMERA-AI | INFO | ✅ Photo captured and queued for AI enhancement
2025-08-26 16:40:16,430 | CAMERA-AI | INFO | 🎨 Processing enhancement: [<AIFeature.SCENE_DETECTION: 'scene_detection'>, <AIFeature.HDR_ENHANCEMENT: 'hdr_enhancement'>, <AIFeature.NOISE_REDUCTION: 'noise_reduction'>]
2025-08-26 16:40:16,624 | CAMERA-AI | INFO | ✅ Enhanced photo saved: output/enhanced_photos/enhanced_1756206616.jpg (192ms)
2025-08-26 16:40:41,631 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:41:11,688 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:41:11,804 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:41:42,008 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:42:11,832 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:42:12,212 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:42:42,435 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:43:12,014 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:43:12,782 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:43:43,034 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:44:12,232 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:53:03,013 | CAMERA-AI | INFO | ✅ Camera AI Controller database initialized
2025-08-26 16:53:03,013 | CAMERA-AI | INFO | 📸 Camera AI Controller initialized for Nothing Phone 2a
2025-08-26 16:53:03,013 | CAMERA-AI | INFO | 🚀 Initializing Camera AI System...
2025-08-26 16:53:03,135 | CAMERA-AI | INFO | ✅ Camera devices detected
2025-08-26 16:53:03,242 | CAMERA-AI | INFO | ✅ Camera app access verified
2025-08-26 16:53:05,463 | CAMERA-AI | INFO | ✅ Camera capture capability verified
2025-08-26 16:53:05,463 | CAMERA-AI | INFO | 🧠 Initializing Camera AI models...
2025-08-26 16:53:05,464 | CAMERA-AI | INFO | ✅ Camera AI models initialized
2025-08-26 16:53:05,464 | CAMERA-AI | INFO | ✅ Camera AI System operational!
2025-08-26 16:53:05,739 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:05,745 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:53:05,909 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:53:06,151 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:06,414 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:06,420 | CAMERA-AI | INFO | 🌙 Enabling AI Night Mode...
2025-08-26 16:53:06,685 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:06,814 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:06,934 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:07,093 | CAMERA-AI | INFO | 📸 Applied camera optimization
2025-08-26 16:53:07,117 | CAMERA-AI | INFO | ✅ AI Night Mode enabled
2025-08-26 16:53:07,117 | CAMERA-AI | INFO | 📸 Capturing enhanced photo: ai_scene
2025-08-26 16:53:10,895 | CAMERA-AI | INFO | ✅ Photo captured and queued for AI enhancement
2025-08-26 16:53:10,926 | CAMERA-AI | INFO | 🎨 Processing enhancement: [<AIFeature.SCENE_DETECTION: 'scene_detection'>, <AIFeature.HDR_ENHANCEMENT: 'hdr_enhancement'>, <AIFeature.NOISE_REDUCTION: 'noise_reduction'>]
2025-08-26 16:53:10,927 | CAMERA-AI | ERROR | AI enhancement application failed: [Errno 21] Is a directory: 'output/input_cache/acct'
2025-08-26 16:53:36,192 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
2025-08-26 16:54:06,091 | CAMERA-AI | INFO | 📊 Camera performance: FPS: 30.0, Focus time: 250ms, Shutter lag: 80ms
2025-08-26 16:54:06,348 | CAMERA-AI | INFO | 🔍 Detected scene: landscape (0.92)
