2025-08-26 15:34:03,474 | BATTERY-ML | INFO | ✅ ML Battery Optimizer database initialized
2025-08-26 15:53:59,699 | BATTERY-ML | INFO | 🚀 Initializing ML Battery Management System...
2025-08-26 15:53:59,823 | BATTERY-ML | INFO | ✅ Battery hardware detected: 95%
2025-08-26 15:53:59,824 | BATTERY-ML | INFO | 🧠 Initializing ML models...
2025-08-26 15:53:59,824 | BATTERY-ML | INFO | Not enough data for training (5/100)
2025-08-26 15:53:59,824 | BATTERY-ML | INFO | ✅ ML models initialized
2025-08-26 15:53:59,824 | BATTERY-ML | INFO | ✅ ML Battery Management System operational!
2025-08-26 15:53:59,833 | BATTERY-ML | ERROR | Feature extraction failed: the resolved dtypes are not compatible with add.reduce. Resolved (dtype('<U8'), dtype('<U8'), dtype('<U16'))
2025-08-26 15:53:59,835 | BATTERY-ML | ERROR | Usage pattern analysis failed: the resolved dtypes are not compatible with add.reduce. Resolved (dtype('<U8'), dtype('<U8'), dtype('<U16'))
2025-08-26 15:53:59,835 | BATTERY-ML | INFO | 🔄 Periodic ML model retraining started...
2025-08-26 15:54:00,231 | BATTERY-ML | INFO | 🐌 Slow charging enabled for battery health
2025-08-26 15:54:00,391 | BATTERY-ML | INFO | 🐌 Slow charging enabled (80-100%) for battery health
2025-08-26 15:54:00,392 | BATTERY-ML | ERROR | Failed to log charging optimization: Error binding parameter 3: type 'ChargingPhase' is not supported
